mode,level_pct,sample,delta_d1_pct,delta_d2_pct,delta_w1_pct,delta_w2_pct,delta_g_pct,geometry_valid,solver_ok,strict_sigma_ratio,strict_raw_residual,full_sigma_ratio,full_raw_residual,threshold_amplitude_error,finite_open_amplitude_error,strict_threshold_amplitude,strict_sigma_over_baseline,strict_raw_over_baseline
independent,1,42,0,-0.257805694277376,0,0,0,1,1,0.000539218272948835,0.00908925538586875,0.000170734960816011,0.0023622177906827,0.00200302004725587,0.00124887058950949,0,2.96107254598985,4.09458818802567
independent,1,43,0,0,0.776633719403766,0,0,1,1,0.046424770279201,0.439428881869513,0.02377066806547,0.259290506600358,0.220067653389382,0.0219999633654025,0,254.937786095152,197.956843855176
independent,1,44,0,0,0,-0.206888707538421,0,1,1,0.000230319106103638,0.00267673070122281,9.3236563488204e-05,0.00128667905275236,0.000800268743752243,0.000493977176468063,0,1.26477832097711,1.20583144014112
independent,1,45,0,0,0,0,0.230837617429304,1,1,0.000245974207748799,0.00337124046650403,0.000156982407044103,0.00216646510526823,0.000982952668130586,0.00029156150439937,0,1.35074701679422,1.51869881603312
independent,1,46,0.17295930408078,0,0,0,0,1,1,0.00163649537066854,0.0164146288326303,0.000996514283682418,0.0136063519170688,0.00240467343598106,0.00332652532281985,0,8.98667896995748,7.39457111452806
independent,1,47,0,-0.276922690756038,0,0,0,1,1,0.000578407227961617,0.00983238954797605,0.000195067524545008,0.00269939064968773,0.00214313324026459,0.00132657874347023,0,3.17627545103938,4.42936020543577
independent,1,48,0,0,0.416620975656931,0,0,1,1,0.0249984903371083,0.260103334118958,0.0135874022224998,0.164659871158345,0.120979814856659,0.0125217040613397,0,137.277142007069,117.173079018704
independent,1,49,0,0,0,0.626274818928814,0,1,1,0.000531861135649487,0.00942261165895744,0.000347837101250917,0.00480160879430066,0.00208315694057,0.00072032846494114,0,2.9206714350352,4.24476073794822
independent,1,50,0,0,0,0,-0.912370032659643,1,1,0.000678491691012477,0.010272052511312,0.000152463870752421,0.00210224675021832,0.00387325959786772,0.000857430515317403,0,3.72588100168094,4.62742249986603
independent,1,51,-0.835193899829393,0,0,0,0,1,1,0.00688753383493079,0.0715058316553423,0.00375626171025666,0.0543538049623016,0.0109567612525256,0.0147663582375388,0,37.822322371714,32.2124223867797
independent,1,52,0,0.43132265366546,0,0,0,1,1,0.000992716815670834,0.0181308577177045,0.000705640244035727,0.00969459197207403,0.00305784025484205,0.00154950045889262,0,5.45142228350316,8.16770931149177
independent,1,53,0,0,-0.409455598828219,0,0,1,1,0.0234749558365498,0.282415612048249,0.013951148206645,0.209171831764635,0.121742286639335,0.0133362549452564,0,128.910778312083,127.22446230355
independent,1,54,0,0,0,0.098268921514397,0,1,1,0.00020400141588031,0.00302267400779994,0.000187528642585816,0.00258785183934835,0.000269389134337302,8.52046905282388e-05,0,1.12025690190874,1.3616742805832
independent,1,55,0,0,0,0,0.191260685431839,1,1,0.000227884670699097,0.00305728872208713,0.000157080088452205,0.00216779240457234,0.000816505208059417,0.00026658584719855,0,1.25140982031049,1.37726774718032
independent,1,56,-0.355092316224678,0,0,0,0,1,1,0.00284948852395436,0.0290652799662212,0.0015345570184158,0.0216250156576926,0.00459191851174841,0.00618720029795177,0,15.6477305419414,13.0935205337476
independent,1,57,0,0.402432026351253,0,0,0,1,1,0.000931511251179883,0.017022215901143,0.000668929705645123,0.00919298328155127,0.00284528331120614,0.00143229574670347,0,5.11531698854562,7.66828097615183
independent,1,58,0,0,0.555496542947438,0,0,1,1,0.0332899756085017,0.333658001107854,0.0176707523050239,0.20553195845706,0.160051207291813,0.0163220985793819,0,182.80914756826,150.308474366396
